M0,M1,M2,M3,M4,STD,M3_pre_COVID,STD_pre_COVID
2984.3266,2367.3999,2783.2601,2249.3494,2627.0196,4510.967135160481,492.508,786.9319566260967
4069.483,3355.3926,3824.6908,3174.3314,3664.4552,4517.809024065375,727.0869,811.4354600686246
4478.1792,3879.2426,4235.4955,3643.7847,4120.8297,4524.13574160382,970.4251,923.4687106807288
4637.1485,4168.3718,4414.5057,4038.2282,4340.1945,4523.925106314522,1306.063,1151.4953932270478
5241.9668,4910.3356,5032.5537,4826.9588,4993.9646,4998.11561339851,1999.4677,1785.1997843422732
7335.191,7095.8684,7121.9293,7036.3592,7075.1397,6980.241905521028,3436.104,3207.087954881213
7501.3636,7287.9922,7300.6632,7207.8158,7252.6757,7078.0828161765,4733.83,4524.082486872405
7490.1589,7326.8645,7320.7358,7264.0714,7275.6507,7073.581690830253,6074.399,5754.9907014412
7460.1175,7329.342,7305.3521,7284.4867,7265.0094,7081.006268248279,6294.981,5860.579786145652
7451.2458,7328.7768,7308.3009,7293.9178,7276.907,7093.715743363333,6335.6362,5867.967707153525
7471.4157,7350.9027,7342.7554,7317.1948,7311.8041,7102.2359326692285,6355.3224,5877.269560355927
7500.4745,7371.6915,7380.3871,7338.3927,7350.9446,7105.642579398087,6369.4103,5889.181665666366
