M0,M1,M2,M3,M4,STD,M3_pre_COVID,STD_pre_COVID
2918.3287,2546.5635,2797.3525,2293.4832,2546.8238,4510.967135160481,450.6134,786.9319566260967
4001.7555,3601.6375,3875.9281,3238.5231,3656.9685,4517.809024065375,728.5331,811.4354600686246
4416.3029,4103.8611,4294.9429,3811.9408,4143.7322,4524.13574160382,1005.9846,923.4687106807288
4567.2591,4324.1631,4457.7371,4156.4062,4348.1869,4523.925106314522,1385.3799,1151.4953932270478
5151.9729,4949.9686,5026.4453,4840.8846,4923.6616,4998.11561339851,2053.7333,1785.1997843422732
7234.0841,7035.4005,7074.1291,6922.1019,6962.8213,6980.241905521028,3426.1447,3207.087954881213
7382.4974,7175.1084,7216.4246,7045.4342,7097.5292,7078.0828161765,4659.011,4524.082486872405
7343.9953,7153.9317,7184.1564,7028.135,7063.1071,7073.581690830253,5886.6704,5754.9907014412
7277.7274,7102.1203,7104.9244,6984.3506,6993.2864,7081.006268248279,6022.9047,5860.579786145652
7237.6057,7039.9217,7019.2774,6929.5985,6912.7458,7093.715743363333,5985.4304,5867.967707153525
7247.6803,7029.5982,7032.351,6914.9351,6923.4505,7102.2359326692285,5910.5097,5877.269560355927
7276.6255,7063.132,7106.0185,6959.4824,7001.7948,7105.642579398087,5857.7761,5889.181665666366
