state,date,year,month,observed,observed_imp,popn,tas,RH
NSW,2010-06-01,2010,6,41,41,7144292.0,10.251700729353544,75.55545704685507
NSW,2010-07-01,2010,7,112,112,7162726.0,10.212252162079682,78.24809270817161
NSW,2010-08-01,2010,8,243,243,7162726.0,10.569072452756506,65.7013473830508
NSW,2010-09-01,2010,9,380,380,7162726.0,13.681777379371436,66.4296517380942
NSW,2010-10-01,2010,10,336,336,7179891.0,16.025088923745404,73.25718304457524
NSW,2010-11-01,2010,11,92,92,7179891.0,18.53340774683042,73.24493674011016
NSW,2010-12-01,2010,12,112,112,7179891.0,20.37566690768009,70.47013851773774
NSW,2011-01-01,2011,1,129,129,7204737.0,22.53011645649172,72.44870345646181
NSW,2011-02-01,2011,2,105,105,7204737.0,22.65099411816927,69.67482526488875
NSW,2011-03-01,2011,3,134,134,7204737.0,19.649225619045804,75.05857020983377
NSW,2011-04-01,2011,4,126,126,7218529.0,15.674179891977737,74.48936858957484
NSW,2011-05-01,2011,5,155,155,7218529.0,11.769696308302349,72.3923385561979
NSW,2011-06-01,2011,6,489,489,7218529.0,10.531913663364094,73.73586084769299
NSW,2011-07-01,2011,7,1752,1752,7239528.0,9.507698531395912,71.53074511152704
NSW,2011-08-01,2011,8,1434,1434,7239528.0,11.78969006652121,73.55594555548204
NSW,2011-09-01,2011,9,825,825,7239528.0,13.995237365742195,61.90567636112599
NSW,2011-10-01,2011,10,322,322,7258722.0,15.762893698011652,69.39643382477098
NSW,2011-11-01,2011,11,182,182,7258722.0,19.97706546691764,71.2483055903521
NSW,2011-12-01,2011,12,138,138,7258722.0,17.788468428851125,72.2881315201149
NSW,2012-01-01,2012,1,55,55,7284982.0,20.89629484399695,71.25646802806384
NSW,2012-02-01,2012,2,56,56,7284982.0,20.351637925844525,78.47237882806706
NSW,2012-03-01,2012,3,134,134,7284982.0,18.54999197134164,76.51834890247093
NSW,2012-04-01,2012,4,82,82,7304244.0,16.481229751094446,75.04277810853732
NSW,2012-05-01,2012,5,233,233,7304244.0,12.02278460353599,70.93422817145553
NSW,2012-06-01,2012,6,2064,2064,7304244.0,10.23974262356978,79.57271502648463
NSW,2012-07-01,2012,7,2233,2233,7327614.0,9.817894582611157,74.6389654340178
NSW,2012-08-01,2012,8,1837,1837,7327614.0,10.784648384112993,59.888631871235056
NSW,2012-09-01,2012,9,784,784,7327614.0,14.070603232964494,60.09458491130184
NSW,2012-10-01,2012,10,262,262,7353189.0,16.24642580434301,58.71861103032405
NSW,2012-11-01,2012,11,152,152,7353189.0,19.36222231980589,67.11504801889564
NSW,2012-12-01,2012,12,97,97,7353189.0,20.950600846259217,65.34079336112767
NSW,2013-01-01,2013,1,95,95,7382957.0,23.0679173078364,67.99493441985341
NSW,2013-02-01,2013,2,130,130,7382957.0,20.677910256228262,74.52056136897325
NSW,2013-03-01,2013,3,169,169,7382957.0,19.83511817762796,72.03436644645974
NSW,2013-04-01,2013,4,119,119,7404032.0,16.25630117104526,72.1778735115006
NSW,2013-05-01,2013,5,182,182,7404032.0,12.900985496568191,72.80041838039712
NSW,2013-06-01,2013,6,335,335,7404032.0,11.076584181332368,81.32984814914028
NSW,2013-07-01,2013,7,759,759,7430904.0,10.698734632121967,75.3278881222972
NSW,2013-08-01,2013,8,3331,3331,7430904.0,12.02166862024922,61.00727881840312
NSW,2013-09-01,2013,9,2124,2124,7430904.0,16.21313282587643,58.69209747793204
