M0,M1,M2,M3,M4,STD
2841.0421,2652.1157,2794.6357,2351.2127,2535.0819,4510.967135160481
3956.7311,3773.3247,3870.8571,3413.1112,3663.9072,4517.809024065375
4405.4406,4261.162,4318.757,3933.3072,4166.8587,4524.13574160382
4579.5459,4462.0796,4518.1616,4227.2837,4395.0785,4523.925106314522
5180.1313,5070.3033,5114.4912,4886.6203,4994.449,4998.11561339851
7264.1411,7163.9615,7196.7809,7000.1245,7069.7285,6980.241905521028
7411.451,7318.2808,7346.0714,7144.5689,7220.3495,7078.0828161765
7357.3091,7265.6634,7286.7481,7085.7063,7157.0158,7073.581690830253
7264.4238,7160.2837,7172.9703,6968.874,7026.2623,7081.006268248279
7202.6841,7053.3556,7057.3226,6827.9405,6865.5216,7093.715743363333
7203.1248,7035.7567,7063.0345,6817.368,6883.515,7102.2359326692285
7236.2607,7088.1483,7139.5586,6927.4846,6999.2876,7105.642579398087
