M0,M1,M2,M3,M4,STD
3049.2205,3330.6308,3321.7458,3146.3065,2977.3967,4510.967135160481
4058.4286,4281.066,4222.6255,4195.6639,3977.8883,4517.809024065375
4438.872,4588.6458,4548.6395,4615.7074,4374.6541,4524.13574160382
4606.2004,4707.7601,4696.7886,4813.6483,4601.2275,4523.925106314522
5179.4764,5137.3955,5084.7973,5189.2842,4971.1134,4998.11561339851
7202.7722,6955.7676,6837.2881,6599.8732,6407.489,6980.241905521028
7311.7387,7117.4036,7008.43,6639.1843,6514.1504,7078.0828161765
7252.3261,7066.0614,7032.6534,6603.9715,6640.5696,7073.581690830253
7193.9968,7032.7933,7042.6904,6667.1315,6745.4354,7081.006268248279
7167.3351,7031.8198,7063.0413,6794.6019,6875.3668,7093.715743363333
7201.4886,7106.843,7178.6748,7004.1856,7087.9571,7102.2359326692285
7256.5197,7176.188,7274.347,7063.9759,7189.5685,7105.642579398087
