M0,M1,M2,M3,M4,STD
2907.7188,2392.3548,2756.2996,2274.1554,2584.8407,4510.967135160481
4004.664,3379.9377,3781.3239,3136.7299,3614.6441,4517.809024065375
4444.7355,3908.1002,4207.9592,3678.7109,4089.561,4524.13574160382
4612.7504,4176.5143,4386.6307,4034.2331,4298.6027,4523.925106314522
5211.3309,4888.2753,4994.606,4796.907,4936.3618,4998.11561339851
7300.9618,7055.8016,7082.8423,6998.6626,7024.8301,6980.241905521028
7463.6471,7228.1557,7253.1861,7153.8992,7196.3926,7078.0828161765
7441.5332,7247.33,7253.3036,7187.1847,7199.2794,7073.581690830253
7401.621,7238.0028,7229.5101,7189.5742,7181.6084,7081.006268248279
7384.9867,7229.117,7219.107,7193.03,7181.1741,7093.715743363333
7400.0143,7236.3381,7233.1823,7203.3223,7191.7408,7102.2359326692285
7425.701,7250.8247,7258.5519,7217.5475,7216.8177,7105.642579398087
